isReply,replyTo,initialTweet,tweetDate,twitterId,handle,text,profileUser,name,tweetLink,timestamp,query,type
true,@whyhate123,https://twitter.com/whyhate123/status/1280073248131162112,Tue Jul 07 11:27:52 +0000 2020,1272828978,boltapp,"@whyhate123 If you have already message us, one of our support specialists will get back to you as soon as possible. Thank you for your patience.",https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280463539988242435,2020-07-07T16:31:35.189Z,https://twitter.com/boltapp,tweets-replies
true,@danoisyboi,https://twitter.com/danoisyboi/status/1280151872360325124,Tue Jul 07 11:24:41 +0000 2020,1272828978,boltapp,"@danoisyboi Hello there, thank you for getting in touch. We would like to know what the main issue is and assist so please send us a DM with further details.",https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280462738385494019,2020-07-07T16:31:35.188Z,https://twitter.com/boltapp,tweets-replies
true,@whyhate123,https://twitter.com/whyhate123/status/1280073248131162112,Tue Jul 07 11:07:44 +0000 2020,1272828978,boltapp,"@whyhate123 please forward us an in-app message instead, as we aren't able to assist here. Alternatively, you can call us at +44 808 169 8818.",https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280458473462026240,2020-07-07T16:31:35.189Z,https://twitter.com/boltapp,tweets-replies
true,@Blowshihm,https://twitter.com/Blowshihm/status/1280210641110867973,Tue Jul 07 07:54:33 +0000 2020,1272828978,boltapp,"@Blowshihm You may contact Saudi Arabia support through this number: 920022750

Thank you",https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280409857687015424,2020-07-07T16:31:35.188Z,https://twitter.com/boltapp,tweets-replies
true,@whyhate123,https://twitter.com/whyhate123/status/1280073248131162112,Tue Jul 07 07:29:23 +0000 2020,1272828978,boltapp,"@whyhate123 Hello Aysha, apologies for your unpleasant experience. Please send us an in-app message or give us a call again at +44 808 169 8818. Thank you.",https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280403521804931072,2020-07-07T16:31:35.189Z,https://twitter.com/boltapp,tweets-replies
true,@AjayDesigns,https://twitter.com/AjayDesigns/status/1279459164381753344,Tue Jul 07 07:19:38 +0000 2020,1272828978,boltapp,"@AjayDesigns Hi Ashley, please send us an in-app message to look into your account and assist further. Thank you.",https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280401070699827201,2020-07-07T16:31:35.189Z,https://twitter.com/boltapp,tweets-replies
true,@whyhate123,https://twitter.com/whyhate123/status/1280162572231151618,Tue Jul 07 07:03:03 +0000 2020,1272828978,boltapp,"@whyhate123 Hi Aysha, sorry to hear about the issue. Please forward us an in-app message and someone from the support team will get back to you as soon as possible.",https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280396895551184897,2020-07-07T16:31:35.188Z,https://twitter.com/boltapp,tweets-replies
true,@MarvellousOnye9,https://twitter.com/MarvellousOnye9/status/1279421321097740291,Tue Jul 07 07:01:15 +0000 2020,1272828978,boltapp,@MarvellousOnye9 Hello! Please DM us your personal details so we can look into this.,https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280396442927071233,2020-07-07T16:31:35.188Z,https://twitter.com/boltapp,tweets-replies
true,@_hudaxxxx,https://twitter.com/_hudaxxxx/status/1279134455123361794,Tue Jul 07 05:35:13 +0000 2020,1272828978,boltapp,"@_hudaxxxx Good morning, we are very sorry to hear about your unpleasant experience. Please forward us an in-app message to further follow-up.",https://twitter.com/boltapp,Bolt,https://twitter.com/boltapp/status/1280374793813069824,2020-07-07T16:31:35.189Z,https://twitter.com/boltapp,tweets-replies
,,,Mon Jul 06 18:42:56 +0000 2020,513715113,Blowshihm,"@boltapp 
I would like to join you but unfortunately I didn't find my city I'm in Saudi Arabia in Jubail city",https://twitter.com/Blowshihm,حسن محمد البلوشي,https://twitter.com/Blowshihm/status/1280210641110867973,2020-07-07T16:31:35.189Z,https://twitter.com/boltapp,tweets-replies
